Hall Effect Sensor Voltage (V),Force Sensor Voltage (V)
2.462969,0
2.458027,0
2.462352,0
2.462969,0
2.462352,0
2.461116,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462969,0
2.467294,0
2.461734,0
2.452468,0
2.458027,0
2.451232,0
2.446908,0
2.456792,0
2.459881,0
2.443819,0
2.42714,0
2.45185,0
2.456174,0
2.454321,0
2.446908,0
2.462352,0
2.448761,0
2.447526,0
2.446908,0
2.449997,0
2.456792,0
2.456792,0
2.462352,0
2.455556,0
2.448143,0
2.462352,0
2.462969,0
2.450614,0
2.45741,0
2.450614,0
2.454939,0
2.453085,0
2.447526,0
2.462352,0
2.454939,0
2.461116,0
2.462352,0
2.458645,0
2.462969,0
2.462969,0
2.462352,0
2.458027,0
2.462352,0
2.448761,0.0
2.467294,0
2.467294,0
2.462969,0
2.46544,0
2.466676,0
2.46544,0
2.449997,0
2.461734,0
2.460498,0
2.462352,0
2.458645,0
2.462352,0
2.462969,0
2.462352,0
2.462352,0
2.462352,0
2.466676,0
2.462352,0
2.466676,0
2.466676,0
2.466676,0
2.463587,0
2.462352,0
2.462352,0
2.462352,0
2.458645,0
2.449997,0
2.44629,0
2.460498,0
2.462352,0.0
2.450614,0.0
2.461116,0
2.466676,0
2.466676,0
2.466676,0
2.460498,0
2.462352,0
2.462352,0
2.462352,0
2.458027,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.461734,0
2.464823,0
2.466676,0
2.466676,0
2.462352,0
2.466676,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0.0
2.462352,0
2.462352,0
2.462352,0
2.458645,0
2.462352,0
2.467294,0
2.466676,0
2.461734,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.449997,0
2.466058,0
2.466058,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.462352,0
2.462352,0
2.462352,0
2.461734,0
2.462969,0
2.462352,0
2.458645,0
2.462352,0
2.462352,0
2.460498,0.0
2.467294,0
2.462969,0
2.467294,0
2.462969,0
2.462352,0
2.458645,0
2.460498,0
2.462969,0
2.462969,0
2.462352,0
2.462969,0
2.462352,0
2.458645,0
2.466676,0
2.466676,0
2.466676,0
2.467294,0
2.467294,0
2.466676,0
2.462969,0
2.459263,0
2.462969,0
2.456792,0
2.462352,0
2.458027,0
2.462352,0
2.448143,0
2.462969,0.0
2.466676,0
2.462969,0
2.466676,0
2.467294,0
2.462352,0
2.458645,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.458645,0
2.462969,0
2.464823,0
2.456174,0
2.454939,0
2.454939,0
2.456174,0
2.451232,0
2.455556,0
2.455556,0
2.454939,0
2.454939,0
2.449379,0
2.455556,0
2.451232,0
2.453703,0
2.456174,0
2.455556,0
2.454939,0
2.451232,0
2.452468,0
2.461734,0
2.455556,0
2.450614,0
2.435171,0
2.451232,0
2.455556,0
2.455556,0
2.449997,0
2.455556,0
2.454321,0
2.45185,0
2.450614,0
2.462352,0
2.462352,0
2.458645,0
2.443819,0
2.462352,0
2.459881,0
2.461734,0
2.461116,0
2.462352,0
2.462352,0
2.458645,0
2.46544,0
2.467294,0
2.46544,0
2.464205,0
2.466676,0
2.467294,0
2.467294,0
2.467294,0
2.46544,0
2.466676,0
2.466676,0
2.467294,0
2.466676,0
2.462352,0
2.460498,0
2.458645,0
2.462352,0
2.462352,0
2.458645,0
2.461116,0
2.462352,0
2.462352,0
2.460498,0
2.466676,0
2.461116,0
2.462352,0
2.458027,0
2.462352,0
2.462352,0
2.462352,0
2.458027,0
2.462969,0
2.462352,0
2.462352,0
2.467294,0
2.466676,0
2.466676,0
2.467294,0
2.454939,0
2.458645,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.458645,0
2.462352,0
2.466676,0
2.462969,0
2.45741,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462969,0
2.462969,0
2.459263,0
2.462352,0
2.467294,0
2.467294,0
2.461116,0
2.466676,0
2.467294,0
2.467294,0
2.466676,0
2.466676,0
2.466676,0
2.467294,0
2.466676,0
2.466676,0
2.466676,0
2.467294,0
2.466676,0
2.462969,0
2.461734,0.0
2.466058,0
2.461734,0.0
2.461734,0.0
2.466676,0
2.461734,0
2.463587,0.0
2.462352,0
2.461116,0.0
2.464205,0.0
2.455556,0
2.462352,0
2.462352,0
2.462969,0
2.458027,0
2.462352,0
2.462969,0
2.462352,0
2.462352,0
2.46544,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.467294,0
2.466676,0.000618
2.467294,0
2.461734,0
2.466676,0
2.466676,0
2.466676,0
2.462969,0
2.467294,0
2.466676,0
2.467294,0
2.462969,0
2.466676,0
2.466676,0
2.467294,0
2.466676,0
2.466676,0
2.466676,0
2.467294,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.458645,0
2.462352,0
2.462352,0
2.449379,0
2.453085,0
2.462969,0
2.444437,0
2.443201,0
2.45185,0
2.456174,0
2.451232,0
2.460498,0
2.45185,0
2.454321,0
2.451232,0
2.447526,0
2.452468,0
2.462352,0
2.452468,0
2.445672,0
2.448143,0
2.453085,0
2.455556,0
2.451232,0
2.45185,0
2.449379,0
2.454939,0
2.447526,0
2.445055,0
2.461116,0
2.459263,0
2.454939,0
2.456792,0
2.455556,0.0
2.462352,0
2.458027,0
2.462352,0
2.458645,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.458645,0
2.462352,0
2.462352,0
2.462352,0
2.458027,0
2.466676,0
2.467294,0
2.466676,0
2.462969,0
2.466676,0
2.466676,0
2.464823,0
2.462969,0
2.467294,0
2.466676,0
2.46544,0
2.462969,0
2.466676,0
2.466676,0
2.466676,0
2.461734,0
2.466676,0
2.462352,0
2.462352,0
2.458027,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462969,0
2.458645,0
2.466676,0
2.462352,0
2.462352,0
2.458645,0
2.462352,0
2.462352,0
2.462969,0
2.458027,0
2.462352,0
2.462969,0
2.462969,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466058,0
2.466676,0
2.466676,0
2.466676,0
2.462969,0
2.466676,0
2.466676,0
2.466676,0
2.462969,0
2.466058,0
2.466676,0
2.466676,0
2.461116,0
2.466676,0
2.466676,0
2.466676,0
2.462969,0
2.466676,0
2.466676,0
2.466676,0
2.462352,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.462352,0
2.461116,0
2.462352,0
2.462352,0
2.462352,0.0
2.462969,0
2.462352,0
2.458027,0
2.462352,0
2.466676,0
2.466676,0
2.462969,0
2.466058,0
2.462352,0
2.462352,0.0
2.462969,0
2.458645,0
2.462352,0
2.462352,0
2.462352,0.0
2.462352,0
2.462352,0
2.462969,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.464205,0
2.466676,0
2.462352,0
2.466676,0
2.462352,0
2.466676,0
2.466676,0
2.466676,0
2.461734,0
2.466058,0
2.466676,0
2.466676,0
2.462969,0
2.466676,0
2.466676,0
2.466676,0
2.462352,0
2.466676,0
2.466676,0
2.46544,0
2.461116,0
2.454939,0
2.452468,0
2.455556,0
2.451232,0
2.455556,0
2.455556,0
2.45185,0
2.448143,0
2.462352,0
2.454939,0
2.448143,0
2.451232,0
2.450614,0
2.455556,0
2.45185,0
2.444437,0
2.453085,0
2.450614,0
2.452468,0
2.456174,0
2.456792,0
2.451232,0
2.455556,0.0
2.458645,0
2.462352,0
2.459881,0
2.455556,0
2.455556,0
2.454939,0
2.451232,0
2.460498,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.462352,0
2.458027,0
2.462352,0
2.462352,0
2.466676,0
2.462969,0
2.466676,0
2.466676,0
2.466676,0.0
2.466676,0
2.462969,0
2.466676,0
2.466676,0
2.466676,0
2.463587,0
2.466676,0
2.466676,0
2.466676,0
2.466676,0
2.462969,0
2.466676,0
2.466676,0
2.466058,0
2.462352,0
2.466676,0
